rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,695578,James Wood,WSH,SD,2026-09-09T01:40:00Z,Pre-Game,1,Casey Mize,663554,R,64.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.6,43.0,46.1,93.2,80.0,22.4,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 15.4 HR allowed",EV profile; pitcher allows elevated contact,19.48,57.77,95.07,106.3316,0.556,0.2841,0.4016,76.63,67.06,32.22,25.08,30.3,0.2512,8.43,39.56,89.44,0.3861,0.1553,31.16,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,50,4,89,Petco Park,,,,,,,,,,,
2,682829,Elly De La Cruz,CIN,LAD,2026-09-09T02:10:00Z,Pre-Game,2,Tarik Skubal,669373,L,62.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.1,26.6,76.1,100.0,75.0,100.0,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 7.5% barrel, 13.8 HR allowed",EV profile; pitcher fly-ball pressure modest,13.66,50.08,93.38,104.3903,0.4688,0.1982,0.3542,75.45,54.33,34.12,24.82,23.4,0.2047,7.47,35.38,86.94,0.3412,0.1191,25.55,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,40,1,91,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
3,691002,Yohandy Morales,WSH,SD,2026-09-09T01:40:00Z,Pre-Game,7,Casey Mize,663554,R,62.0,Tier 3,Watch List,"Elite Power, Strong Barrel",87.1,43.0,46.1,64.3,50.0,62.8,50.0,,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,5,12,1,Contact streak: 5/12 over last 5 games,"same-side matchup; pitcher baseline 8.4% barrel, 15.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,33.3,83.3,98.5,105.3711,0.591,0.315,0.364,72.5,26.3,50.0,33.3,1.0,0.416,8.43,39.56,89.44,0.3861,0.1553,31.16,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,50,4,89,Petco Park,,,,,,,,,,,
4,606192,Teoscar Hernández,LAD,CIN,2026-09-09T02:10:00Z,Pre-Game,5,Nick Lodolo,666157,L,60.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",46.1,52.2,76.1,86.4,78.0,63.3,50.0,,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,1,Contact streak: 11/26 over last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.08,45.4,90.27,101.6245,0.4406,0.1878,0.3275,72.55,26.25,35.55,29.24,16.6,0.1685,9.46,40.99,89.99,0.4625,0.1851,26.47,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,40,1,91,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
5,669257,Will Smith,LAD,CIN,2026-09-09T02:10:00Z,Pre-Game,3,Nick Lodolo,666157,L,60.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",49.9,52.2,76.1,96.6,78.0,0.0,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,0,"Last 7 games: 2/17, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 17.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.13,41.78,90.18,100.1905,0.4876,0.2179,0.378,69.91,7.08,31.23,38.66,9.3,0.1485,9.46,40.99,89.99,0.4625,0.1851,26.47,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,40,1,91,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
6,663728,Cal Raleigh,SEA,TEX,2026-09-09T01:40:00Z,Pre-Game,4,Cal Quantrill,615698,R,59.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.8,45.0,34.9,94.9,75.0,74.2,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.1% barrel, 14.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,16.28,42.25,90.32,101.217,0.4469,0.2432,0.3325,75.06,52.18,54.43,42.43,32.7,0.2384,9.07,37.93,89.14,0.433,0.1821,28.8,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=47.5914&lon=-122.3325,59,0,71,T-Mobile Park,,,,,,,,,,,
7,608369,Corey Seager,TEX,SEA,2026-09-09T01:40:00Z,Pre-Game,2,Bryce Miller,682243,R,59.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.1,41.4,34.9,100.0,80.0,59.1,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.02,50.45,91.99,102.5898,0.5039,0.2448,0.365,71.73,14.67,40.64,31.34,16.8,0.1978,7.93,37.47,88.83,0.3989,0.1624,31.65,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=47.5914&lon=-122.3325,59,0,71,T-Mobile Park,,,,,,,,,,,
8,701398,Sal Stewart,CIN,LAD,2026-09-09T02:10:00Z,Pre-Game,3,Tarik Skubal,669373,L,59.1,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",60.2,28.0,76.1,96.6,78.0,22.4,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.61,43.26,91.69,101.3553,0.5257,0.2575,0.366,72.1,26.58,37.66,32.79,23.2,0.2368,7.47,35.38,86.94,0.3412,0.1191,25.55,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,40,1,91,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
9,605141,Mookie Betts,LAD,CIN,2026-09-09T02:10:00Z,Pre-Game,2,Nick Lodolo,666157,L,58.7,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",31.9,52.2,76.1,100.0,78.0,68.7,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.83,37.48,89.8,98.4329,0.4248,0.1525,0.33,69.46,8.46,39.82,33.59,18.6,0.1683,9.46,40.99,89.99,0.4625,0.1851,26.47,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,40,1,91,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
10,686527,Dominic Canzone,SEA,TEX,2026-09-09T01:40:00Z,Pre-Game,2,Cal Quantrill,615698,R,57.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",54.7,46.6,34.9,100.0,80.0,40.3,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.68,46.06,91.46,102.5699,0.4987,0.2234,0.3613,74.01,41.78,40.25,26.23,18.0,0.2104,9.07,37.93,89.14,0.433,0.1821,28.8,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=47.5914&lon=-122.3325,59,0,71,T-Mobile Park,,,,,,,,,,,
