rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,660271,Shohei Ohtani,LAD,COL,2026-08-18T00:40:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,74.3,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",80.6,73.3,66.2,88.7,80.0,37.8,50.0,,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 13.1% barrel, 26.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.6,54.22,93.85,104.433,0.5937,0.3064,0.411,74.96,52.59,46.56,32.62,35.4,0.2791,13.13,42.32,90.49,0.552,0.249,30.49,144 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,49,11,78,Coors Field,,,,,,,,,,,
2,695491,Joshua Baez,STL,CIN,2026-08-17T22:40:00Z,Scheduled,5,Rhett Lowder,695076,R,73.8,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Hot Hitter/Streak",99.0,50.9,64.8,81.9,50.0,87.0,50.0,,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,3,9,3,Hot streak: 3 HR in last 2 games,"same-side matchup; pitcher baseline 9.6% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,75.0,75.0,98.1,104.1919,1.734,1.143,0.956,80.3,100.0,50.0,50.0,3.0,2.25,9.6,38.2,90.5,0.456,0.19,27.9,288 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,73,13,82,Great American Ball Park,,,,,,,,,,,
3,695491,Joshua Baez,STL,CIN,2026-08-17T17:40:00Z,Scheduled,5,,,,72.4,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Hot Hitter/Streak",99.0,41.2,64.8,81.9,60.0,87.0,50.0,,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,3,9,3,Hot streak: 3 HR in last 2 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,75.0,75.0,98.1,104.1919,1.734,1.143,0.956,80.3,100.0,50.0,50.0,3.0,2.25,,,,,,,288 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,73,13,82,Great American Ball Park,,,,,,,,,,,
4,808959,Munetaka Murakami,CWS,CHC,2026-08-18T00:05:00Z,Scheduled,2,Shota Imanaga,684007,L,67.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",82.9,53.0,52.8,95.5,50.0,49.9,50.0,,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.3% barrel, 28.9 HR allowed",lift-pull EV profile; pitcher allows elevated contact,20.5,59.5,94.2,104.7472,0.506,0.288,0.366,74.8,50.2,41.6,40.0,27.0,0.304,10.27,37.9,89.02,0.4298,0.1933,34.39,278 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.9484&lon=-87.6553,77,14,81,Wrigley Field,,,,,,,,,,,
5,656941,Kyle Schwarber,PHI,STL,2026-08-17T22:40:00Z,Scheduled,1,Janson Junk,676083,R,66.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.6,42.5,52.8,88.7,80.0,81.4,47.5,68.0,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.91,54.63,93.53,104.4912,0.5243,0.2833,0.3793,77.16,75.21,54.49,33.88,42.7,0.3006,7.52,42.61,90.48,0.4215,0.1606,23.29,106 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,82,15,70,Citizens Bank Park,,14.1,0.216,94,9,139,25,6,4.88,2,Power volume; less clean pitcher split than Harper
6,624413,Pete Alonso,BAL,TB,2026-08-17T22:05:00Z,Scheduled,2,Shane McClanahan,663556,L,66.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",72.4,41.2,53.1,95.5,78.0,100.0,50.0,,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,15,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 7.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,55.8,93.99,104.2109,0.5496,0.271,0.3888,74.78,48.65,35.66,31.02,30.3,0.2317,8.6,40.3,89.2,0.399,0.16,27.3,286 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,77,1,84,Tropicana Field,,,,,,,,,,,
7,676475,Alec Burleson,STL,PHI,2026-08-17T22:40:00Z,Scheduled,3,Rhett Lowder,695076,R,64.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.0,50.9,64.8,92.1,80.0,94.7,58.7,89.0,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.9,47.69,91.7,102.0138,0.5207,0.2298,0.3744,73.14,33.37,43.61,27.89,19.4,0.19,9.6,38.2,90.5,0.456,0.19,27.9,288 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,73,13,82,Great American Ball Park,,18.3,0.244,94,8,123,27.3,6,6.35,9,"Strong LHH sheet, Busch heat/wind, Painter LHH split"
8,621566,Matt Olson,ATL,NYM,2026-08-17T23:40:00Z,Scheduled,3,Bailey Ober,641927,R,64.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak, Sheet Consensus",67.2,55.5,27.1,92.1,80.0,70.3,80.6,100.0,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 20.9 HR allowed",EV profile; pitcher allows elevated contact,15.31,50.99,92.74,103.8417,0.5116,0.2629,0.3614,74.53,47.75,37.86,32.99,33.2,0.261,10.69,36.23,88.83,0.4669,0.2147,31.83,,NOAA link only,https://forecast.weather.gov/MapClick.php?lat=44.9817&lon=-93.2776,,,,Target Field,,22.7,0.398,96,11,103,37.5,3,3.3,6,Elite LHH power; weather only mild and possible delay
9,687952,Christian Encarnacion-Strand,BAL,TB,2026-08-17T22:05:00Z,Scheduled,4,Shane McClanahan,663556,L,62.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",69.6,41.2,53.1,90.4,78.0,57.8,50.0,,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,17.96,43.72,91.19,102.4162,0.5562,0.3039,0.3518,73.46,34.24,40.84,31.89,5.3,0.2278,8.6,40.3,89.2,0.399,0.16,27.3,286 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,77,1,84,Tropicana Field,,,,,,,,,,,
10,695506,Jac Caglianone,KC,ATH,2026-08-17T23:40:00Z,Scheduled,3,Mason Barnett,686930,R,62.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.7,48.6,50.7,92.1,80.0,76.4,50.0,,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 8.6 HR allowed",EV profile; pitcher allows elevated contact,13.96,51.5,92.13,104.9668,0.4912,0.2227,0.3504,77.33,75.39,43.37,22.54,17.5,0.1954,10.31,39.28,88.78,0.4158,0.1796,33.16,354 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0517&lon=-94.4803,70,3,82,Kauffman Stadium,,,,,,,,,,,
