rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,701538,Jackson Merrill,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,2,Merrill Kelly,518876,R,64.2,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",43.7,71.9,53.1,100.0,80.0,66.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.55,44.16,89.56,100.2726,0.434,0.1885,0.3162,73.05,27.81,38.75,27.89,11.8,0.1538,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
2,646240,Rafael Devers,SF,COL,2026-07-10T01:45:00Z,Pre-Game,4,Ryan Feltner,663372,R,62.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.0,39.7,58.8,94.9,80.0,79.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.06,51.97,92.38,102.987,0.4695,0.2343,0.339,71.67,20.78,33.42,33.11,23.1,0.2277,7.46,38.85,88.74,0.4274,0.1772,27.34,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,71,0,65,Oracle Park,
3,805811,Bryce Eldridge,SF,COL,2026-07-10T01:45:00Z,Pre-Game,6,Ryan Feltner,663372,R,61.6,Tier 3,Watch List,"Strong Barrel, Platoon Edge",71.8,39.7,58.8,76.2,80.0,33.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.39,58.44,93.08,103.5513,0.5002,0.261,0.365,73.04,27.6,41.28,36.14,4.9,0.1532,7.46,38.85,88.74,0.4274,0.1772,27.34,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,71,0,65,Oracle Park,
4,592518,Manny Machado,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,4,Merrill Kelly,518876,R,61.4,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",48.8,71.9,53.1,94.9,50.0,44.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.29,45.76,90.87,101.6962,0.4362,0.1974,0.3284,74.64,44.4,39.52,28.22,20.7,0.2067,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
5,596146,Max Kepler,AZ,SD,2026-07-10T01:40:00Z,Pre-Game,5,Griffin Canning,656288,R,60.8,Tier 3,Watch List,"Strong Barrel, Platoon Edge",58.6,51.0,53.1,86.4,80.0,39.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,1,"Last 7 games: 5/19, 1 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.49,46.73,89.61,100.265,0.5123,0.2756,0.3362,71.23,16.91,36.18,36.51,6.1,0.1771,9.64,48.01,90.92,0.4161,0.1694,23.96,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
6,665487,Fernando Tatis Jr.,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,1,Merrill Kelly,518876,R,60.8,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",49.9,71.9,53.1,93.2,50.0,30.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",EV profile; pitcher fly-ball pressure modest,11.0,52.43,92.18,104.258,0.4474,0.1666,0.356,75.26,56.49,32.28,21.31,11.0,0.1241,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
7,682998,Corbin Carroll,AZ,SD,2026-07-10T01:40:00Z,Pre-Game,3,Griffin Canning,656288,R,59.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.0,51.0,53.1,96.6,80.0,0.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.4,47.38,91.54,102.4378,0.4737,0.2166,0.3552,75.33,55.75,46.18,28.85,18.4,0.2498,9.64,48.01,90.92,0.4161,0.1694,23.96,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
8,606466,Ketel Marte,AZ,SD,2026-07-10T01:40:00Z,Pre-Game,1,Griffin Canning,656288,R,59.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",54.4,50.2,53.1,93.2,75.0,24.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","switch hitter; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.96,46.23,91.22,103.0518,0.5179,0.2217,0.3788,74.6,45.64,50.24,27.29,20.3,0.2214,9.64,48.01,90.92,0.4161,0.1694,23.96,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
9,696100,Hunter Goodman,COL,SF,2026-07-10T01:45:00Z,Pre-Game,4,Carson Whisenhunt,687931,L,59.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.1,31.9,58.8,94.9,78.0,48.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","platoon edge; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.7,45.92,91.01,102.8022,0.4688,0.2329,0.3275,75.03,50.89,48.77,31.71,28.2,0.2777,3.75,40.34,89.74,0.4295,0.1486,34.1,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,71,0,65,Oracle Park,
10,671218,Heliot Ramos,SF,COL,2026-07-10T01:45:00Z,Pre-Game,1,Ryan Feltner,663372,R,59.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",56.0,39.7,58.8,93.2,50.0,92.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 7.5 HR allowed",EV profile; pitcher fly-ball pressure modest,14.12,49.43,92.22,103.472,0.4758,0.2051,0.341,72.67,29.16,36.25,24.07,11.9,0.1902,7.46,38.85,88.74,0.4274,0.1772,27.34,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,71,0,65,Oracle Park,
11,657757,Gavin Sheets,SD,AZ,2026-07-10T01:40:00Z,Pre-Game,5,Merrill Kelly,518876,R,57.5,Longshot,Watch List,"Pitcher Vulnerable, Platoon Edge",37.7,71.9,53.1,86.4,80.0,10.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.41,42.93,88.92,100.0127,0.425,0.1732,0.3337,74.45,47.84,39.89,22.86,15.5,0.2008,12.94,43.78,90.13,0.5451,0.2517,27.13,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,83,0,69,Petco Park,
